,Well,Time step,unloading,stable production,restriction on production line,towards stable production
0,W15,4743,0.0,1.0,0.0,0.0
1,W5,4208,0.0,1.0,0.0,0.0
2,W16,1495,0.0,1.0,0.0,0.0
3,W2,2664,0.0,1.0,0.0,0.0
4,W4,2907,0.0,0.0,1.0,0.0
5,W15,1285,1.0,0.0,0.0,0.0
6,W9,1286,1.0,0.0,0.0,0.0
7,W11,1692,0.0,1.0,0.0,0.0
8,W20,122,1.0,0.0,0.0,0.0
9,W5,3116,0.0,1.0,0.0,0.0
10,W9,891,1.0,0.0,0.0,0.0
11,W13,3274,0.0,1.0,0.0,0.0
12,W3,2633,0.0,1.0,0.0,0.0
13,W19,2388,0.0,1.0,0.0,0.0
14,W5,3825,0.0,1.0,0.0,0.0
15,W9,1121,1.0,0.0,0.0,0.0
16,W18,1392,0.0,0.0,0.0,1.0
17,W5,1775,0.0,0.0,0.0,1.0
18,W3,3649,0.0,1.0,0.0,0.0
19,W2,3457,0.0,1.0,0.0,0.0
20,W13,3558,0.0,1.0,0.0,0.0
21,W2,789,1.0,0.0,0.0,0.0
22,W18,4223,0.0,1.0,0.0,0.0
23,W15,3662,0.0,1.0,0.0,0.0
24,W10,2928,0.0,1.0,0.0,0.0
25,W8,4866,0.0,0.0,1.0,0.0
26,W13,3315,0.0,1.0,0.0,0.0
27,W17,1023,1.0,0.0,0.0,0.0
28,W15,3048,0.0,1.0,0.0,0.0
29,W19,1210,1.0,0.0,0.0,0.0
30,W20,2168,0.0,1.0,0.0,0.0
31,W19,5404,0.0,1.0,0.0,0.0
32,W19,928,1.0,0.0,0.0,0.0
33,W4,1018,1.0,0.0,0.0,0.0
34,W14,4841,0.0,1.0,0.0,0.0
35,W14,447,1.0,0.0,0.0,0.0
36,W2,3368,0.0,1.0,0.0,0.0
37,W12,824,1.0,0.0,0.0,0.0
38,W3,269,1.0,0.0,0.0,0.0
39,W3,1628,0.0,0.0,0.0,1.0
40,W14,3074,0.0,1.0,0.0,0.0
41,W17,2068,0.0,1.0,0.0,0.0
42,W8,173,1.0,0.0,0.0,0.0
43,W11,510,1.0,0.0,0.0,0.0
44,W14,4348,0.0,1.0,0.0,0.0
45,W7,1505,0.0,1.0,0.0,0.0
46,W17,1388,0.0,0.0,0.0,1.0
47,W4,2295,0.0,0.0,1.0,0.0
48,W3,662,1.0,0.0,0.0,0.0
49,W19,1956,0.0,1.0,0.0,0.0
50,W4,3146,0.0,0.0,1.0,0.0
51,W2,124,1.0,0.0,0.0,0.0
52,W7,2265,0.0,1.0,0.0,0.0
53,W14,3002,0.0,1.0,0.0,0.0
54,W13,1363,0.0,0.0,0.0,1.0
55,W18,570,1.0,0.0,0.0,0.0
56,W15,3289,0.0,1.0,0.0,0.0
57,W13,1430,0.0,0.0,0.0,1.0
58,W14,1566,0.0,0.0,0.0,1.0
59,W11,2015,0.0,1.0,0.0,0.0
60,W16,140,1.0,0.0,0.0,0.0
61,W8,1642,0.0,0.0,1.0,0.0
62,W5,4444,0.0,1.0,0.0,0.0
63,W14,5814,0.0,1.0,0.0,0.0
64,W11,2149,0.0,1.0,0.0,0.0
65,W7,551,1.0,0.0,0.0,0.0
66,W14,713,1.0,0.0,0.0,0.0
67,W8,725,1.0,0.0,0.0,0.0
68,W13,4482,0.0,1.0,0.0,0.0
69,W11,1852,0.0,1.0,0.0,0.0
70,W9,1463,0.0,0.0,0.0,1.0
71,W15,2575,0.0,1.0,0.0,0.0
72,W18,4018,0.0,1.0,0.0,0.0
73,W17,5312,0.0,1.0,0.0,0.0
74,W18,3815,0.0,1.0,0.0,0.0
75,W2,1935,0.0,0.0,0.0,1.0
76,W5,1396,0.0,0.0,0.0,1.0
77,W19,1813,0.0,1.0,0.0,0.0
78,W3,1194,1.0,0.0,0.0,0.0
79,W8,1297,1.0,0.0,0.0,0.0
80,W17,2586,0.0,1.0,0.0,0.0
81,W8,2677,0.0,0.0,1.0,0.0
82,W5,1628,0.0,0.0,0.0,1.0
83,W3,2801,0.0,1.0,0.0,0.0
84,W20,1752,0.0,1.0,0.0,0.0
85,W8,3032,0.0,0.0,1.0,0.0
86,W5,4606,0.0,1.0,0.0,0.0
87,W8,2811,0.0,0.0,1.0,0.0
88,W5,2682,0.0,1.0,0.0,0.0
89,W16,265,1.0,0.0,0.0,0.0
90,W5,1198,1.0,0.0,0.0,0.0
91,W15,752,1.0,0.0,0.0,0.0
92,W15,4175,0.0,1.0,0.0,0.0
93,W16,3134,0.0,1.0,0.0,0.0
94,W16,1450,0.0,1.0,0.0,0.0
95,W5,3818,0.0,1.0,0.0,0.0
96,W4,2454,0.0,0.0,1.0,0.0
97,W2,1399,0.0,0.0,0.0,1.0
98,W8,2544,0.0,0.0,1.0,0.0
99,W2,841,1.0,0.0,0.0,0.0
100,W5,1101,1.0,0.0,0.0,0.0
101,W14,5366,0.0,1.0,0.0,0.0
102,W12,2026,0.0,1.0,0.0,0.0
103,W10,763,1.0,0.0,0.0,0.0
104,W10,2007,0.0,0.0,0.0,1.0
105,W8,4461,0.0,0.0,1.0,0.0
106,W17,529,1.0,0.0,0.0,0.0
107,W18,431,1.0,0.0,0.0,0.0
108,W14,1147,1.0,0.0,0.0,0.0
109,W15,3683,0.0,1.0,0.0,0.0
110,W16,201,1.0,0.0,0.0,0.0
111,W19,2002,0.0,1.0,0.0,0.0
112,W14,5628,0.0,1.0,0.0,0.0
113,W14,1345,0.0,0.0,0.0,1.0
114,W4,2858,0.0,0.0,1.0,0.0
115,W13,883,1.0,0.0,0.0,0.0
116,W7,1547,0.0,1.0,0.0,0.0
117,W13,3082,0.0,1.0,0.0,0.0
118,W15,270,1.0,0.0,0.0,0.0
119,W15,1466,0.0,0.0,0.0,1.0
120,W11,2331,0.0,1.0,0.0,0.0
121,W14,5208,0.0,1.0,0.0,0.0
122,W14,1083,1.0,0.0,0.0,0.0
123,W3,2774,0.0,1.0,0.0,0.0
124,W13,3574,0.0,1.0,0.0,0.0
125,W14,708,1.0,0.0,0.0,0.0
126,W7,1073,1.0,0.0,0.0,0.0
127,W17,5393,0.0,1.0,0.0,0.0
128,W16,3132,0.0,1.0,0.0,0.0
129,W2,1101,1.0,0.0,0.0,0.0
130,W15,2397,0.0,1.0,0.0,0.0
131,W8,6125,0.0,0.0,1.0,0.0
132,W16,954,1.0,0.0,0.0,0.0
133,W9,2813,0.0,1.0,0.0,0.0
134,W2,4230,0.0,1.0,0.0,0.0
135,W15,3030,0.0,1.0,0.0,0.0
136,W19,3708,0.0,1.0,0.0,0.0
137,W2,3395,0.0,1.0,0.0,0.0
138,W15,2077,0.0,1.0,0.0,0.0
139,W20,2611,0.0,1.0,0.0,0.0
140,W8,2593,0.0,0.0,1.0,0.0
141,W16,3464,0.0,1.0,0.0,0.0
142,W14,5685,0.0,1.0,0.0,0.0
143,W14,5495,0.0,1.0,0.0,0.0
144,W2,4007,0.0,1.0,0.0,0.0
145,W16,562,1.0,0.0,0.0,0.0
146,W19,1848,0.0,1.0,0.0,0.0
147,W12,2451,0.0,1.0,0.0,0.0
148,W16,4436,0.0,1.0,0.0,0.0
149,W19,4670,0.0,1.0,0.0,0.0
150,W9,2212,0.0,0.0,0.0,1.0
151,W16,1093,1.0,0.0,0.0,0.0
152,W16,1376,0.0,0.0,0.0,1.0
153,W17,4135,0.0,1.0,0.0,0.0
154,W3,1825,0.0,1.0,0.0,0.0
155,W13,4377,0.0,1.0,0.0,0.0
156,W11,701,1.0,0.0,0.0,0.0
157,W2,2622,0.0,1.0,0.0,0.0
158,W7,1758,0.0,1.0,0.0,0.0
159,W7,716,1.0,0.0,0.0,0.0
160,W4,379,1.0,0.0,0.0,0.0
161,W2,672,1.0,0.0,0.0,0.0
162,W20,586,1.0,0.0,0.0,0.0
163,W15,3012,0.0,1.0,0.0,0.0
164,W14,1752,0.0,0.0,0.0,1.0
165,W16,1728,0.0,1.0,0.0,0.0
166,W20,1049,1.0,0.0,0.0,0.0
167,W18,2403,0.0,1.0,0.0,0.0
168,W10,2214,0.0,1.0,0.0,0.0
169,W3,1180,1.0,0.0,0.0,0.0
170,W7,2000,0.0,1.0,0.0,0.0
171,W15,3189,0.0,1.0,0.0,0.0
